ID,Sample#,Type,RH,T_F,Tg_F,strength_psi
1,C11A22,Test,0,-65,175,6903.1
2,C11A31,Test,0,-65,175,6645.2
3,C11A43,Test,0,-65,175,6467
4,C11A55,Test,0,-65,175,6109.2
5,C11A74,Test,0,-65,175,5831.8
6,C11A53,Train,0,70,175,5062
7,C11A56,Train,0,70,175,5281
8,C11A61,Train,0,70,175,4835.6
9,C11A24,Train,0,160,175,3306.1
10,C11A34,Train,0,160,175,3248.8
11,C11A52,Train,0,160,175,3642.6
12,C11A23,Train,85,160,135,2509.4
13,C11A32,Train,85,160,135,2541.4
14,C11A72,Train,85,160,135,2307.4
15,C11A76,Train,85,160,135,2324.9
16,C11A26,Train,0,200,175,1872.4
17,C11A36,Train,0,200,175,1996.9
18,C11A45,Train,0,200,175,2116
19,C11A51,Train,0,200,175,2040.1
20,C11A54,Train,0,200,175,2349.2
21,C11A25,Test,85,200,135,1590.9
22,C11A35,Test,85,200,135,1683.7
23,C11A62,Test,85,200,135,1365.1
